County,City,Model Year,Make,Model,Electric Range,Legislative District,Electric Utility,Electric Vehicle Type_Battery Electric Vehicle (BEV),Electric Vehicle Type_Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle (CAFV) Eligibility_Clean Alternative Fuel Vehicle Eligible,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Eligibility unknown as battery range has not been researched,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Not eligible due to low battery range,Cluster
116,715,0.5714285714285694,13,30,0.0563798219584569,0.6666666666666666,58,False,True,False,False,True,0
116,57,0.8928571428571388,40,110,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,57,0.8928571428571388,40,110,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,387,0.8928571428571388,40,110,0.0,0.9375,75,True,False,False,True,False,0
116,57,0.8214285714285694,40,110,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,36,0.8928571428571388,7,103,0.0,0.6249999999999999,75,True,False,False,True,False,0
116,715,0.6071428571428612,5,180,0.0415430267062314,0.7291666666666666,58,False,True,False,False,True,0
211,737,0.9285714285714306,28,74,0.1602373887240356,0.0,74,False,True,True,False,False,0
45,721,0.7142857142857082,42,125,0.0741839762611276,0.4791666666666667,35,False,True,False,False,True,0
229,579,0.8571428571428612,44,93,0.0,0.4375,74,True,False,False,True,False,0
116,659,0.9642857142857082,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,715,0.9285714285714306,42,125,0.115727002967359,0.6874999999999999,58,False,True,True,False,False,0
116,714,0.8928571428571388,7,103,0.0,0.6666666666666666,75,True,False,False,True,False,0
116,659,0.8214285714285694,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,57,0.9642857142857082,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,715,0.8214285714285694,17,95,0.0,0.9375,58,True,False,False,True,False,0
116,395,0.8571428571428612,40,110,0.0,0.0,75,True,False,False,True,False,0
116,715,0.5357142857142918,8,175,0.1127596439169139,0.7291666666666666,58,False,True,True,False,False,0
116,57,0.9285714285714306,32,18,0.0,0.8333333333333333,75,True,False,False,True,False,0
46,825,0.9285714285714306,40,110,0.0,0.3333333333333333,37,True,False,False,True,False,0
211,458,0.8928571428571388,40,110,0.0,0.4166666666666667,74,True,False,False,True,False,0
116,395,0.8571428571428612,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,659,0.9285714285714306,40,107,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,726,0.8571428571428612,13,167,0.0,0.6458333333333333,58,True,False,False,True,False,0
46,825,0.6785714285714306,8,175,0.1572700296735905,1.0,37,False,True,True,False,False,0
116,374,0.7857142857142918,40,107,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,696,0.9285714285714306,13,66,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,57,0.9285714285714306,5,88,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,715,0.8571428571428612,40,110,0.0,0.7499999999999999,58,True,False,False,True,False,0
116,726,0.8928571428571388,40,107,0.0,0.6458333333333333,58,True,False,False,True,False,0
116,726,0.6428571428571388,32,102,0.3175074183976261,0.6458333333333333,58,True,False,True,False,False,0
46,825,0.7142857142857082,32,102,0.4451038575667655,1.0,37,True,False,True,False,False,1
116,715,0.8928571428571388,13,111,0.0,0.7499999999999999,58,True,False,False,True,False,0
116,374,0.9642857142857082,40,110,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,659,0.9642857142857082,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
21,864,0.8571428571428612,40,110,0.0,0.1458333333333333,34,True,False,False,True,False,0
116,101,0.8214285714285694,32,102,0.0,0.6874999999999999,75,True,False,False,True,False,0
116,656,0.8571428571428612,40,110,0.0,0.0833333333333333,75,True,False,False,True,False,0
116,395,0.8928571428571388,2,133,0.0,0.9166666666666666,75,True,False,False,True,False,0
209,522,0.8928571428571388,40,110,0.0,0.8124999999999999,74,True,False,False,True,False,0
116,715,0.9285714285714306,40,110,0.0,0.7291666666666666,58,True,False,False,True,False,0
116,57,0.8928571428571388,8,22,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,262,0.8571428571428612,40,110,0.0,0.6041666666666666,75,True,False,False,True,False,0
116,715,0.9285714285714306,36,134,0.0,0.7291666666666666,58,True,False,False,True,False,0
116,715,0.8214285714285694,45,181,0.0,0.6874999999999999,58,True,False,False,True,False,0
116,395,0.9285714285714306,40,110,0.0,0.9166666666666666,75,True,False,False,True,False,0
118,82,0.5,32,102,0.2225519287833827,0.4583333333333333,74,True,False,True,False,False,0
116,659,0.9285714285714306,7,103,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,662,0.6785714285714306,32,102,0.4480712166172107,0.2083333333333333,75,True,False,True,False,False,1
229,579,0.8571428571428612,36,135,0.0,0.4375,74,True,False,False,True,False,0
116,715,0.5714285714285694,5,91,0.0415430267062314,0.8749999999999999,58,False,True,False,False,True,0
209,78,0.8214285714285694,20,60,0.0,0.8124999999999999,74,True,False,False,True,False,0
116,57,0.5357142857142918,16,14,0.0385756676557863,0.9791666666666666,75,False,True,False,False,True,0
176,305,0.5,40,108,0.6172106824925816,0.5208333333333333,19,True,False,True,False,False,1
116,387,0.7857142857142918,44,93,0.0,0.9375,75,True,False,False,True,False,0
176,94,0.9285714285714306,13,111,0.0,0.6249999999999999,75,True,False,False,True,False,0
46,825,0.8928571428571388,33,128,0.0,0.3541666666666667,37,True,False,False,True,False,0
116,77,0.6785714285714306,32,102,0.4480712166172107,0.0,75,True,False,True,False,False,1
246,264,0.8571428571428612,40,107,0.0,0.8541666666666666,76,True,False,False,True,False,0
46,825,0.5357142857142918,13,30,0.0563798219584569,0.3333333333333333,37,False,True,False,False,True,0
246,58,0.9642857142857082,39,156,0.0,0.8124999999999999,76,True,False,False,True,False,0
116,389,0.9285714285714306,40,107,0.0,0.9583333333333331,75,True,False,False,True,False,0
116,374,0.8571428571428612,17,169,0.0979228486646884,0.0833333333333333,75,False,True,True,False,False,0
40,132,0.6428571428571388,40,108,0.6231454005934718,0.2291666666666666,68,True,False,True,False,False,1
116,101,0.6785714285714306,40,107,0.6379821958456974,0.6874999999999999,75,True,False,True,False,False,1
229,579,0.9285714285714306,5,88,0.0,0.4375,74,True,False,False,True,False,0
211,250,0.75,40,110,0.8635014836795253,0.8958333333333333,74,True,False,True,False,False,1
116,715,0.8928571428571388,20,61,0.0,0.7499999999999999,58,True,False,False,True,False,0
116,662,0.7857142857142918,42,140,0.1246290801186943,0.2083333333333333,75,False,True,True,False,False,0
116,471,0.7857142857142918,40,110,0.0,0.0833333333333333,75,True,False,False,True,False,0
211,737,0.75,8,25,0.7685459940652819,0.7916666666666666,31,True,False,True,False,False,1
176,266,0.6071428571428612,5,87,0.2136498516320474,0.5624999999999999,19,False,True,True,False,False,0
116,715,0.75,40,107,0.9554896142433236,0.9375,58,True,False,True,False,False,1
116,494,0.6071428571428612,40,108,0.6231454005934718,0.8333333333333333,75,True,False,True,False,False,1
116,726,0.8928571428571388,17,95,0.0,0.6458333333333333,58,True,False,False,True,False,0
246,58,0.6428571428571388,40,109,0.5934718100890208,0.8124999999999999,76,True,False,True,False,False,1
116,662,0.9642857142857082,40,110,0.0,0.2083333333333333,75,True,False,False,True,False,0
116,395,0.8214285714285694,9,120,0.0949554896142433,0.9791666666666666,75,False,True,True,False,False,0
81,611,0.9642857142857082,40,107,0.0,0.1666666666666666,40,True,False,False,True,False,0
211,458,0.8571428571428612,13,111,0.0,0.4166666666666667,74,True,False,False,True,False,0
46,825,0.8571428571428612,40,110,0.0,1.0,37,True,False,False,True,False,0
211,458,0.5714285714285694,32,102,0.2492581602373887,0.0,74,True,False,True,False,False,0
110,633,0.8214285714285694,32,102,0.0,0.4791666666666667,49,True,False,False,True,False,0
116,57,0.8928571428571388,40,107,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,715,0.9285714285714306,36,134,0.0,0.7291666666666666,58,True,False,False,True,False,0
116,715,0.8214285714285694,20,113,0.0,0.6874999999999999,58,True,False,False,True,False,0
40,469,0.7857142857142918,19,178,0.0741839762611276,0.2291666666666666,68,False,True,False,False,True,0
116,715,0.8928571428571388,13,66,0.0,0.7291666666666666,58,True,False,False,True,False,0
46,825,0.9285714285714306,40,107,0.0,0.3333333333333333,37,True,False,False,True,False,0
118,39,0.8928571428571388,40,110,0.0,0.4583333333333333,74,True,False,False,True,False,0
246,58,0.6428571428571388,8,175,0.1572700296735905,0.8124999999999999,76,False,True,True,False,False,0
211,524,0.8571428571428612,40,110,0.0,0.6458333333333333,74,True,False,False,True,False,0
214,751,0.9285714285714306,20,158,0.0890207715133531,0.0625,2,False,True,True,False,False,0
176,312,0.5357142857142918,40,108,0.6172106824925816,0.5624999999999999,19,True,False,True,False,False,1
211,478,0.8928571428571388,40,110,0.0,0.8958333333333333,74,True,False,False,True,False,0
116,662,0.9285714285714306,7,103,0.0,0.2083333333333333,75,True,False,False,True,False,0
116,715,0.7857142857142918,40,107,0.0,0.7291666666666666,58,True,False,False,True,False,0
88,516,0.8571428571428612,44,93,0.0,0.375,41,True,False,False,True,False,0
116,374,0.7857142857142918,40,107,0.0,0.0833333333333333,75,True,False,False,True,False,0
116,882,0.8928571428571388,40,107,0.0,0.9166666666666666,75,True,False,False,True,False,0
45,721,0.75,8,25,0.7685459940652819,0.4791666666666667,35,True,False,True,False,False,1
116,57,0.9285714285714306,7,103,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,696,0.8928571428571388,40,110,0.0,0.9166666666666666,75,True,False,False,True,False,0
116,389,0.8571428571428612,40,110,0.0,0.6666666666666666,75,True,False,False,True,False,0
116,715,0.8571428571428612,32,102,0.0,0.7499999999999999,58,True,False,False,True,False,0
116,395,0.8571428571428612,45,182,0.1038575667655786,0.9166666666666666,75,False,True,True,False,False,0
126,131,0.7857142857142918,20,113,0.0,0.3958333333333333,20,True,False,False,True,False,0
116,389,0.8928571428571388,9,120,0.0949554896142433,0.2083333333333333,75,False,True,True,False,False,0
116,715,0.9285714285714306,28,74,0.1602373887240356,0.7499999999999999,58,False,True,True,False,False,0
116,374,0.9285714285714306,45,183,0.0949554896142433,0.0833333333333333,75,False,True,True,False,False,0
176,648,0.8214285714285694,40,107,0.0,0.4999999999999999,75,True,False,False,True,False,0
116,489,0.8214285714285694,40,110,0.0,0.9791666666666666,58,True,False,False,True,False,0
116,715,0.9285714285714306,16,126,0.0,0.7499999999999999,58,True,False,False,True,False,0
116,715,0.6785714285714306,9,120,0.0979228486646884,0.9375,58,False,True,True,False,False,0
176,648,0.8571428571428612,5,180,0.0890207715133531,0.4999999999999999,75,False,True,True,False,False,0
116,696,0.75,32,102,0.4421364985163205,0.9166666666666666,75,True,False,True,False,False,1
116,494,0.9285714285714306,8,22,0.0,0.8333333333333333,75,True,False,False,True,False,0
116,555,0.8571428571428612,40,109,0.0,0.0833333333333333,75,True,False,False,True,False,0
176,747,0.7142857142857082,32,102,0.4451038575667655,0.5833333333333333,15,True,False,True,False,False,1
229,579,0.9285714285714306,44,92,0.0,0.0208333333333333,74,True,False,False,True,False,0
210,764,0.6428571428571388,42,125,0.0741839762611276,0.2708333333333333,46,False,True,False,False,True,0
116,715,0.8928571428571388,42,125,0.115727002967359,0.7499999999999999,75,False,True,True,False,False,0
21,864,0.7857142857142918,40,107,0.0,0.1458333333333333,34,True,False,False,True,False,0
118,39,0.5,42,124,0.0178041543026706,0.4583333333333333,74,False,True,False,False,True,0
116,101,0.8214285714285694,5,180,0.0890207715133531,0.6874999999999999,58,False,True,True,False,False,0
211,77,0.8571428571428612,40,109,0.0,0.0,74,True,False,False,True,False,0
116,715,0.9285714285714306,45,65,0.0,0.7499999999999999,58,True,False,False,True,False,0
116,395,0.8571428571428612,17,95,0.0,0.9166666666666666,75,True,False,False,True,False,0
116,715,0.8214285714285694,40,110,0.0,0.9375,58,True,False,False,True,False,0
176,779,0.9642857142857082,40,110,0.0,0.5416666666666666,19,True,False,False,True,False,0
176,76,0.9642857142857082,40,110,0.0,0.6249999999999999,75,True,False,False,True,False,0
116,715,0.8214285714285694,13,167,0.0,0.8749999999999999,58,True,False,False,True,False,0
116,57,0.8928571428571388,36,135,0.0,0.9791666666666666,75,True,False,False,True,False,0
211,501,0.8571428571428612,40,110,0.0,0.8958333333333333,74,True,False,False,True,False,0
211,77,0.9285714285714306,40,107,0.0,0.4166666666666667,74,True,False,False,True,False,0
138,53,0.8571428571428612,40,110,0.0,0.7083333333333333,22,True,False,False,True,False,0
214,549,0.7857142857142918,19,178,0.0623145400593471,0.1041666666666666,2,False,True,False,False,True,0
211,77,0.4642857142857082,40,108,0.7863501483679526,0.0,74,True,False,True,False,False,1
116,179,0.9285714285714306,40,107,0.0,0.9583333333333331,75,True,False,False,True,False,0
116,57,0.6785714285714306,40,108,0.7388724035608308,0.8333333333333333,75,True,False,True,False,False,1
116,726,0.8571428571428612,17,95,0.0,0.6458333333333333,58,True,False,False,True,False,0
229,402,0.8928571428571388,27,42,0.0771513353115727,0.4375,74,False,True,False,False,True,0
116,662,0.8571428571428612,36,134,0.0,0.2083333333333333,75,True,False,False,True,False,0
116,806,0.8928571428571388,20,113,0.0,0.2083333333333333,75,True,False,False,True,False,0
116,715,0.8214285714285694,40,110,0.0,0.7499999999999999,58,True,False,False,True,False,0
116,715,0.75,8,25,0.7685459940652819,0.7291666666666666,58,True,False,True,False,False,1
214,156,0.5,13,30,0.0563798219584569,0.0625,24,False,True,False,False,True,0
116,888,0.8928571428571388,40,109,0.0,0.9791666666666666,75,True,False,False,True,False,0
108,324,0.9285714285714306,2,129,0.0,0.1874999999999999,74,True,False,False,True,False,0
249,887,0.6785714285714306,40,109,0.7062314540059348,0.2708333333333333,66,True,False,True,False,False,1
209,522,0.8214285714285694,40,110,0.0,0.1874999999999999,74,True,False,False,True,False,0
116,57,0.9285714285714306,17,95,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,715,0.7857142857142918,8,25,0.0,0.6874999999999999,58,True,False,False,True,False,0
176,417,0.7142857142857082,9,120,0.0949554896142433,0.5833333333333333,16,False,True,True,False,False,0
116,57,0.8928571428571388,40,107,0.0,0.9791666666666666,75,True,False,False,True,False,0
116,659,0.8928571428571388,40,110,0.0,0.9791666666666666,75,True,False,False,True,False,0
199,220,0.8571428571428612,44,93,0.0,0.8124999999999999,26,True,False,False,True,False,0
229,889,0.8214285714285694,36,135,0.0,0.0208333333333333,74,True,False,False,True,False,0
176,648,0.9285714285714306,40,107,0.0,0.4999999999999999,75,True,False,False,True,False,0
116,738,0.9285714285714306,40,107,0.0,0.0833333333333333,75,True,False,False,True,False,0
